,Tesla Stock Close Price,Tesla Stock Open Price,Tesla Stock Volume,Tesla Stock Adj Close Price,Tesla Stock High,Tesla Stock Low,S&P 500 Variance,Ford Stock Price,GM Stock Price,Toyota Stock Price,Nissan Stock Price,Tesla Wikipedia Page Views,Sentiment,Previous Sentiment,Previous Week Tesla Stock Close Price
261,15.390133285522461,15.40653305053711,69201900.0,15.390133285522461,15.687733268737793,15.16866683959961,1365.8850237390695,13.52400016784668,31.841999816894532,107.6739990234375,19.145999908447266,3035.353025936599,0.14641525423728816,0.27208947368421055,14.065200042724609
262,15.284166812896729,15.432166814804077,74947125.0,15.284166812896729,15.668499946594238,15.030666828155518,823.6703798203077,13.285000085830688,31.15750026702881,107.73999977111816,18.78499984741211,3035.3530259365994,0.06027731958762888,0.14641525423728816,15.390133285522461
263,17.002000427246095,16.940533065795897,154048800.0,17.002000427246095,17.421066665649413,16.528266525268556,598.0354689489752,12.692000198364259,29.64600028991699,99.71199951171874,17.261999893188477,3035.3530259365994,0.16170000000000007,0.06027731958762888,15.284166812896729
264,16.781866455078124,16.71093330383301,83205300.0,16.781866455078124,17.03640022277832,16.485733413696288,212.77351225148885,12.91200008392334,30.25999984741211,102.58200073242188,18.3560001373291,3035.3530259365994,0.03301730769230769,0.16170000000000007,17.002000427246095
265,16.710133743286132,16.659866333007812,67177200.0,16.710133743286132,16.94986686706543,16.360399627685545,349.3266046106145,13.517999839782714,32.06199951171875,105.15999908447266,18.88599967956543,3035.3530259365994,0.1146417910447761,0.03301730769230769,16.781866455078124
266,16.47306709289551,16.590533828735353,54618900.0,16.47306709289551,16.743733596801757,16.251466751098633,375.19306522452086,13.736000061035156,32.067999267578124,104.16399993896485,18.29800033569336,3035.3530259365994,0.1407942528735632,0.1146417910447761,16.710133743286132
267,14.221733474731446,14.57186679840088,103462500.0,14.221733474731446,14.73453369140625,14.001333236694336,321.6084187288508,13.37599983215332,30.844000244140624,102.25599975585938,18.021999740600585,3035.3530259365994,0.06508920863309352,0.1407942528735632,16.47306709289551
268,13.853466796875,13.940933418273925,53651400.0,13.853466796875,14.1486665725708,13.733999824523925,289.326030359216,13.238000106811523,30.75,100.8259994506836,19.004000091552733,3035.3530259365994,0.048912048192771077,0.06508920863309352,14.221733474731446
269,14.6548002243042,14.55826644897461,72967800.0,14.6548002243042,14.780133247375488,14.43933334350586,235.6539004460573,13.318000030517577,31.029999923706054,101.13800048828125,19.281999588012695,3035.3530259365994,0.09183492063492062,0.048912048192771077,13.853466796875
270,14.678999662399292,14.735166549682617,37625625.0,14.678999662399292,14.816666603088379,14.558500289916992,357.273004486151,13.212499856948853,30.34000015258789,103.51500129699707,19.90750026702881,3035.3530259365994,0.17865833333333334,0.09183492063492062,14.6548002243042
