,Tesla Stock Close Price,Tesla Stock Open Price,Tesla Stock Volume,Tesla Stock Adj Close Price,Tesla Stock High,Tesla Stock Low,S&P 500 Variance,Ford Stock Price,GM Stock Price,Toyota Stock Price,Nissan Stock Price,Tesla Wikipedia Page Views,Sentiment,Previous Sentiment,Previous Week Tesla Stock Close Price
2,1.372800016,1.393599987,35776200,1.372800016,1.437333179,1.326933575,35552.10727,11.59599991,34.18999863,70.74600067,14.2,1145.4,0.01823548387,0.14415,1.1446666
3,1.384800005,1.398933434,9836100,1.384800005,1.413599777,1.361733222,9178.074048,12.91399994,34.18999863,70.37200012,14.83999996,1449.4,0.08960322581,0.01823548387,1.372800016
4,1.388933206,1.401200008,13199100,1.388933206,1.424133396,1.354266572,435.732436,13.03999977,34.18999863,72.76399841,15.46000004,1102.2,0.1403225806,0.08960322581,1.384800005
5,1.232666612,1.256266785,12649800,1.232666612,1.2648,1.215600014,380.8257869,12.56000004,34.18999863,70.75600128,15.06200008,898,0.04008,0.1403225806,1.388933206
6,1.261199975,1.255866599,7230300,1.261199975,1.281999803,1.233066583,316.1061499,12.00200005,34.18999863,70.69000092,15.20000019,801,0.1880225806,0.04008,1.232666612
7,1.312266779,1.303333187,8167800,1.312266779,1.333599997,1.282933187,591.345328,11.32800007,34.18999863,69.03000031,14.9920002,766.2,0.1682060606,0.1880225806,1.261199975
8,1.384999752,1.357833236,6225000,1.384999752,1.40383324,1.351166755,615.9936097,11.7974999,34.18999863,69,15.74500012,808.5,0.1194,0.1682060606,1.312266779
9,1.39599998,1.388800001,7388700,1.39599998,1.419733214,1.363600016,416.2262596,11.87599983,34.18999863,70.52200012,16.16399975,926.6,0.1702028571,0.1194,1.384999752
10,1.353200221,1.377866602,13719000,1.353200221,1.404133391,1.332400012,878.8788285,12.46000004,34.18999863,71.56800079,16.56199989,949.8,0.249525,0.1702028571,1.39599998
11,1.398933387,1.404266834,19187700,1.398933387,1.429733419,1.365866756,590.4883382,12.36599998,34.18999863,72.38600159,17.37399979,1040.6,0.1961,0.249525,1.353200221
12,1.379066586,1.381866598,5093400,1.379066586,1.401866603,1.364799976,244.7788528,13.21399994,34.18999863,71.24600067,17.85200005,1011.4,0.1275366667,0.1961,1.398933387
13,1.364133024,1.375600219,3938700,1.364133024,1.383466578,1.348133206,202.629088,13.78199997,34.18999863,71.02000275,18.21199989,1012,0.255715625,0.1275366667,1.379066586
14,1.373599982,1.367866802,3763200,1.373599982,1.386133409,1.356933188,239.8491781,13.77399998,34.18999863,71.54400024,18.13600044,936.8,0.1600758621,0.255715625,1.364133024
15,1.422533393,1.431999993,4918800,1.422533393,1.458133411,1.4002666,169.4042336,14.24799995,34.18999863,70.54400024,17.50999985,995,0.07837272727,0.1600758621,1.373599982
16,1.710799789,1.619333386,22234200,1.710799789,1.746133614,1.573333216,206.1645389,16.23599949,34.18999863,73.44199982,18.92599983,1111.8,0.06463870968,0.07837272727,1.422533393
